Warnings with flags (1791):
  trigraph_ends_block_comment [-Wtrigraphs]
  trigraph_ignored [-Wtrigraphs]
  trigraph_ignored_block_comment [-Wtrigraphs]
  warn_O4_is_O3 [-Wdeprecated]
  warn_abs_too_small [-Wabsolute-value]
  warn_abstract_final_class [-Wabstract-final-class]
  warn_abstract_vbase_init_ignored [-Wabstract-vbase-init]
  warn_access_decl_deprecated [-Wdeprecated]
  warn_acquire_requires_negative_cap [-Wthread-safety-negative]
  warn_acquired_before [-Wthread-safety-analysis]
  warn_acquired_before_after_cycle [-Wthread-safety-analysis]
  warn_addition_in_bitshift [-Wshift-op-parentheses]
  warn_address_of_reference_bool_conversion [-Wundefined-bool-conversion]
  warn_address_of_reference_null_compare [-Wtautological-undefined-compare]
  warn_alias_to_weak_alias [-Wignored-attributes]
  warn_alias_with_section [-Wignored-attributes]
  warn_aligned_attr_underaligned [-Wignored-attributes]
  warn_alignment_builtin_useless [-Wtautological-compare]
  warn_alignment_not_power_of_two [-Wnon-power-of-two-alignment]
  warn_alloca [-Walloca]
  warn_alloca_align_alignof [-Walloca-with-align-alignof]
  warn_always_inline_coroutine [-Walways-inline-coroutine]
  warn_ambiguous_suitable_delete_function_found [-Wambiguous-delete]
  warn_analyzer_deprecated_option [-Wdeprecated-static-analyzer-flag]
  warn_analyzer_deprecated_option_with_alternative [-Wdeprecated-static-analyzer-flag]
  warn_anyx86_interrupt_regsave [-Winterrupt-service-routine]
  warn_arc_bridge_cast_nonarc [-Warc-bridge-casts-disallowed-in-nonarc]
  warn_arc_lifetime_result_type [-Wignored-qualifiers]
  warn_arc_literal_assign [-Warc-unsafe-retained-assign]
  warn_arc_object_memaccess [-Warc-non-pod-memaccess]
  warn_arc_perform_selector_leaks [-Warc-performSelector-leaks]
  warn_arc_possible_repeated_use_of_weak [-Warc-maybe-repeated-use-of-weak]
  warn_arc_repeated_use_of_weak [-Warc-repeated-use-of-weak]
  warn_arc_retain_cycle [-Warc-retain-cycles]
  warn_arc_retained_assign [-Warc-unsafe-retained-assign]
  warn_arc_retained_property_assign [-Warc-unsafe-retained-assign]
  warn_arc_strong_pointer_objc_pointer [-Wexplicit-ownership-type]
  warn_argument_invalid_range [-Wargument-outside-range]
  warn_argument_undefined_behaviour [-Wargument-undefined-behaviour]
  warn_arith_conv_enum_float [-Wenum-float-conversion]
  warn_arith_conv_enum_float_cxx20 [-Wdeprecated-enum-float-conversion]
  warn_arith_conv_mixed_anon_enum_types [-Wanon-enum-enum-conversion]
  warn_arith_conv_mixed_anon_enum_types_cxx20 [-Wdeprecated-anon-enum-enum-conversion]
  warn_arith_conv_mixed_enum_types [-Wenum-enum-conversion]
  warn_arith_conv_mixed_enum_types_cxx20 [-Wdeprecated-enum-enum-conversion]
  warn_arm_interrupt_calling_convention [-Wextra]
  warn_array_index_exceeds_bounds [-Warray-bounds]
  warn_array_index_exceeds_max_addressable_bounds [-Warray-bounds]
  warn_array_index_precedes_bounds [-Warray-bounds]
  warn_asm_mismatched_size_modifier [-Wasm-operand-widths]
  warn_assume_aligned_too_great [-Wbuiltin-assume-aligned-alignment]
  warn_assume_attribute_string_unknown [-Wunknown-assumption]
  warn_assume_attribute_string_unknown_suggested [-Wmisspelled-assumption]
